paiva,suunnitellut,ajetut,ajamatta,luotettavuus,Nobina Finland,Koiviston Auto,Pohjolan Liikenne,Tammelundin Liikenne
2026-01-28,19646,19289,357,98.18,98.73,96.58,98.55,99.05
2026-01-28,19646,19289,357,98.18,98.73,96.58,98.55,99.05
2026-01-28,19646,19289,357,98.18,98.73,96.58,98.55,99.05
2026-01-28,19646,19289,357,98.18,98.73,96.58,98.55,99.05
2026-01-28,19646,19289,357,98.18,98.73,96.58,98.55,99.05
2026-01-28,19646,19289,357,98.18,98.73,96.58,98.55,99.05
2026-01-29,19655,19386,269,98.63,98.28,99.11,98.35,100.0
2026-01-29,19655,19386,269,98.63,98.28,99.11,98.35,100.0
2026-01-29,19655,19386,269,98.63,98.28,99.11,98.35,100.0
2026-01-29,19655,19386,269,98.63,98.28,99.11,98.35,100.0
2026-01-29,19655,19386,269,98.63,98.28,99.11,98.35,100.0
2026-01-29,19655,19386,269,98.63,98.28,99.11,98.35,100.0
2026-01-30,20066,19623,443,97.79,97.64,98.85,96.4,100.0
2026-01-30,20066,19623,443,97.79,97.64,98.85,96.4,100.0
2026-01-30,20066,19623,443,97.79,97.64,98.85,96.4,100.0
2026-01-30,20066,19623,443,97.79,97.64,98.85,96.4,100.0
2026-01-30,20066,19623,443,97.79,97.64,98.85,96.4,100.0
2026-01-30,20066,19623,443,97.79,97.64,98.85,96.4,100.0
2026-01-31,14000,13835,165,98.82,99.56,98.73,97.75,99.56
2026-01-31,14000,13835,165,98.82,99.56,98.73,97.75,99.56
2026-01-31,14000,13835,165,98.82,99.56,98.73,97.75,99.56
2026-01-31,14000,13835,165,98.82,99.56,98.73,97.75,99.56
2026-01-31,14000,13835,165,98.82,99.56,98.73,97.75,99.56
2026-02-01,11602,11428,174,98.5,98.65,98.27,98.58,98.14
2026-02-01,11602,11428,174,98.5,98.65,98.27,98.58,98.14
2026-02-01,11602,11428,174,98.5,98.65,98.27,98.58,98.14
2026-02-01,11602,11428,174,98.5,98.65,98.27,98.58,98.14
2026-02-01,11602,11428,174,98.5,98.65,98.27,98.58,98.14
2026-02-02,19652,18753,899,95.43,97.43,98.55,88.89,100.0
2026-02-02,19652,18753,899,95.43,97.43,98.55,88.89,100.0
2026-02-02,19652,18753,899,95.43,97.43,98.55,88.89,100.0
2026-02-02,19652,18753,899,95.43,97.43,98.55,88.89,100.0
